id,lat,lon,perc_forest
140,59.6585,17.3931,35.5
141,49.634,26.2213,9
145,4.1889,11.5388,58.25
146,14.754,-17.411,0
147,-9.509,28.736,14.6666666666667
148,-1.392,29.77,0.666666666666667
149,-18.187,21.736,0
150,48.9062,16.5926,35.2
151,53.8938,9.2256,8.25
152,59.5157,16.4603,30.1428571428571
153,56.1925,25.3398,45.3333333333333
154,53.6161,-10.1873,12
155,47.3388,7.8398,2.41666666666667
156,52.2541,13.732,26
157,51.6663,-4.1234,41.8
158,49.9979,15.3874,18.5
159,42.9754,10.6348,9
161,6.1702,81.2054,46.2857142857143
162,8.198,126.3252,22.25
163,32.4491,35.555,1.6
165,39.85583,119.41472,1.88888888888889
166,-3.6795,-79.2376,67
167,-0.459,-78.511,100
168,6.3327,-75.6515,100
169,5.005,-75.327,30.625
170,-0.0181,-78.6834,97
171,27.1001,92.4001,100
172,21.2208,93.975,93.5
173,27.1567,92.4606,93.7777777777778
174,24.0976,121.1806,100
175,27.362,91.0286,12.6666666666667
176,27.4303,90.5383,88.3
177,27.1001,92.4001,100
178,18.5266,98.4999,100
179,22.3767,103.7933,61.5
180,18.6001,98.5001,100
181,20.6017,96.5328,100
182,19.387,98.863,49.7777777777778
183,15.2334,107.7501,100
184,15.2334,107.7501,100
185,15.2334,107.7501,100
186,24.5875,101.012,100
187,29.6342,102.0901,47
188,29.6017,102.8978,90.125
189,28.6333495,94.9747467,100
190,21.2333,93.9167,100
191,21.2333,93.9167,100
192,27.1567,92.4606,93.7777777777778
193,50.8262,4.4332,46
194,46.9846,7.2564,42.4
195,60.6426,11.1539,80.1428571428571
196,52.626,1.2335,31.9166666666667
197,51.7586,7.2697,99.4166666666667
198,30.1042,118.8847,100
199,21.23333,93.91667,100
200,24.260737,120.953979,90.4444444444444
201,21.23333,93.91667,100
202,34.5417,73.3493,8.44444444444445
203,11.3473,107.1501,35.8888888888889
204,4.3864,102.4017,82.25
205,7.9212,99.2664,100
206,9.1385,98.6199,57.875
207,-6.0187,106.1947,39
208,3.338,101.241,99
209,11.9965,79.8159,31.25
210,11.4377,107.4193,100
211,-8.4221,115.296,80.875
212,2.807,104.182,100
213,5.4992,118.2825,96.5555555555556
214,-1.4512,115.9984,96.375
215,9.0805,98.6324,32.875
216,5.8762,117.9448,81.625
217,8.1238,124.9273,94.375
218,8.12,124.91,87.5555555555556
219,30.2073,120.0687,31.3333333333333
220,16.2297,107.8518,100
221,22.4667,106.9501,82.125
222,21.4834,105.6334,64.6
223,23.634,113.885,93.8888888888889
224,3.53,125.52,100
225,-7.9773,113.5355,78.8888888888889
226,9.3607,123.1788,77.75
227,27.4969,89.7615,50.2222222222222
228,29.6017,102.8978,90.125
229,32.7077,104.3878,100
230,27.5028,92.1039,7.55555555555556
231,25.9732,98.6824,77.2222222222222
233,3.9459,115.6019,95.75
234,5.7776,116.3439,100
235,6.0289,116.547,100
236,6.0112,116.5397,86.8888888888889
237,-6.6762,106.5164,100
238,28.2691,95.9063,93.8
239,27.5169,90.5871,53.1111111111111
240,18.5888,98.4853,60.5
241,27.1567,92.4606,93.7777777777778
242,22.3353,103.8514,59.7777777777778
243,8.1238,124.9273,94.375
244,9.72,124.124,79.8888888888889
245,11.075,124.691,67
246,16.97472,121.02917,89.375
247,3.693,101.746,100
248,25.2957,98.7939,77.7777777777778
249,19.8921,99.0509,100
250,3.712,101.7381,57.5555555555556
251,20.8998,106.4001,11.4444444444444
252,10.198,118.912,100
253,10.1776,118.8935,100
254,10.1584,118.9008,100
255,10.083,118.8487,91.3
256,9.97,118.67,100
257,1.3001,110.3501,98.25
258,9.1258,98.6655,82.2222222222222
259,5.8762,117.9448,81.625
260,1.3457,103.8328,42.625
261,-24.683,-65.406,12.75
262,-23.776,-64.773,8.55555555555556
264,22.4344,-81.178,5
265,35.062,-85.166,38.6666666666667
266,51.7772,-103.5795,1.69230769230769
267,38.0856,-103.1153,2.1
268,18.7219,-99.378,2.55555555555556
269,40.9059,-73.4012,27.8181818181818
270,32.8572,-116.9189,17.7777777777778
271,38.2424,-121.8714,0
272,17.9833333,-66.9166667,6.77777777777778
273,-14.9001,-64.7167,52.875
274,-14.033,-66.817,22.3333333333333
